grade,substandard_description,substandard_id,direct_instructions,match_confidence,similarity_score,llm_explanation
4,Generate a shape pattern that follows a given rule.,CCSS.MATH.CONTENT.4.OA.C.5+1,"Skill: Geometry | Problem Type: Using a compass, construct a circle when given a radius | Sequence: 2",Very Low,0.169,
4,Generate a number pattern that follows a given rule.,CCSS.MATH.CONTENT.4.OA.C.5+2,"Skill: Geometry | Problem Type: Using a compass, construct a circle when given a radius | Sequence: 2",Very Low,0.169,
4,Identify patterns in a given sequence from a given sequence.,CCSS.MATH.CONTENT.4.OA.C.5+3,"Skill: Geometry | Problem Type: State the degrees in an angle, given examples of a right angle, a straight angle, or a full circle | Sequence: 14",Very Low,0.152,
4,Identify patterns in a given pattern given by a rule.,CCSS.MATH.CONTENT.4.OA.C.5+4,"Skill: Geometry | Problem Type: State the degrees in an angle, given examples of a right angle, a straight angle, or a full circle | Sequence: 14",Very Low,0.167,
4,"Given a digit of a number, find the value of that digit.",CCSS.MATH.CONTENT.4.NBT.A.2+4,Skill: Geometry | Problem Type: Find the perimeter of various polygons | Sequence: 13,Low,0.351,
4,Read and write multi-digit whole numbers in standard and word forms,CCSS.MATH.CONTENT.4.NBT.A.2+1,"Skill: Decimals | Problem Type: Column alignment: adding tenths, hundredths, and whole numerals | Sequence: 5",Low,0.335,
4,Express multi-digit whole numbers in expanded form (addition-based and multiplication-based),CCSS.MATH.CONTENT.4.NBT.A.2+3,Skill: Decimals | Problem Type: Subtracting tenths and hundredths from whole numbers | Sequence: 6,Very Low,0.192,
4,"Identify that shifting a digit one place to the left in a whole number increases its value by a factor of ten (e.g., 700 is ten times 70).",CCSS.MATH.CONTENT.4.NBT.A.1+1,Skill: Multiplication | Problem Type: One-digit factor times three-digit factor | Sequence: 2,Low,0.266,
4,Convert between place values.,CCSS.MATH.CONTENT.4.NBT.A.1+3,Skill: Symbol Identification and Place Value | Problem Type: Reading and writing numerals between 1 million and 9 million | Sequence: 2,Very Low,0.093,
4,Compare numerical values by evaluating the size and positional value of digits in numbers with thousands.,CCSS.MATH.CONTENT.4.NBT.A.2+2,Skill: Problem Solving | Problem Type: Multi-step problems: three numerals; the sum of two numerals is subtracted from the third numeral | Sequence: 2,Very Low,0.189,
4,Apply place value and regrouping strategies to accurately add multi-digit numbers.,CCSS.MATH.CONTENT.4.NBT.B.4+1,Skill: Division | Problem Type: One-digit divisor; three- or four-digit dividend; three-digit quotient. | Sequence: 5,Very Low,0.142,
4,Apply place value and regrouping strategies to accurately subtract multi-digit numbers.,CCSS.MATH.CONTENT.4.NBT.B.4+2,Skill: Division | Problem Type: One-digit divisor; three- or four-digit dividend; three-digit quotient. | Sequence: 5,Very Low,0.142,
4,Solve word problems involving adding and subtracting multidigit numbers.,CCSS.MATH.CONTENT.4.NBT.B.4+3,Skill: Fractions | Problem Type: Adding and subtracting mixed numbers: fractions with like denominators | Sequence: 2,Low,0.263,
4,Use place value understanding to round multi-digit whole numbers to any place.,CCSS.MATH.CONTENT.4.NBT.A.3+1,Skill: Division | Problem Type: Rounding to the nearest 10. | Sequence: 8,Low,0.218,
4,"Identify and use the patterns formed by multiplying numbers by 10, 100, and 1000 to generate and compare multiples.",CCSS.MATH.CONTENT.4.NBT.A.1+2,Skill: Fractions | Problem Type: Multiplying fractions by whole numerals and converting answers to mixed numerals | Sequence: 7,Low,0.279,
4,"In the multiplicative statement, ___ is ___ times as much as _____, given two values, find the third.",CCSS.MATH.CONTENT.4.OA.A.1+2,Skill: Problem Solving | Problem Type: Multi-step problems: three numerals; the sum of two numerals is subtracted from the third numeral | Sequence: 2,Low,0.245,
4,Interpret multiplication equations as multiplicative comparisons and represent verbal multiplicative comparisons from word problems.,CCSS.MATH.CONTENT.4.OA.A.1+1-old,Skill: Decimals | Problem Type: Subtracting tenths and hundredths from whole numbers | Sequence: 6,Very Low,0.113,
4,Use multiplication or division to solve equal-groups and multiplicative-comparison problems.,CCSS.MATH.CONTENT.4.OA.A.2+1,"Skill: Decimals | Problem Type: Column alignment: adding tenths, hundredths, and whole numerals | Sequence: 5",Very Low,0.194,
4,"Use the distributive property to break a one-digit × two-digit product into two simpler products [e.g., 7 × 26 = (7 × 20) + (7 × 6)] and add to find the result.",CCSS.MATH.CONTENT.4.NBT.B.5+1,Skill: Division | Problem Type: One-digit divisor; two- or three-digit dividend; two-digit quotient; remainder. | Sequence: 2,Low,0.283,
4,Represent a multi-digit multiplication as the area of a rectangle partitioned into smaller rectangles; label each partial area and add to obtain the full area (partial-products model).,CCSS.MATH.CONTENT.4.NBT.B.5+2,Skill: Geometry | Problem Type: Label angles | Sequence: 3,Low,0.241,
4,Multiply a three- or four-digit number by a one-digit number using an area model.,CCSS.MATH.CONTENT.4.NBT.B.5+10,Skill: Division | Problem Type: One-digit divisor; three- or four-digit dividend; three-digit quotient. | Sequence: 5,Very Low,0.050,"The direct instruction format focuses on division problems, indicated by the 'divisor)dividend' notation, while the curriculum standard explicitly requires multiplication. Furthermore, the standard specifies using an area model, which is not implied or supported by the provided direct instruction format for division. The only minor commonality is the involvement of a one-digit number and a three- or four-digit number, but their roles in the operation are inverted, and the operation itself is incorrect."
4,Multiply two-digit numbers with area models.,CCSS.MATH.CONTENT.4.NBT.B.5+3,Skill: Division | Problem Type: One-digit divisor; two- or three-digit dividend; two-digit quotient; remainder. | Sequence: 2,Low,0.309,
4,Multiply a one digit number by a two-digit number.,CCSS.MATH.CONTENT.4.NBT.B.5+6,Skill: Division | Problem Type: One-digit divisor; two- or three-digit dividend; two-digit quotient; remainder. | Sequence: 2,Very Low,0.000,"The curriculum standard is about multiplication, while the direct instruction format explicitly describes and provides examples of division problems. These are inverse operations and represent entirely different instructional targets."
4,Subtract fractions within one with the same denominator.,CCSS.MATH.CONTENT.4.NF.B.3.A+9,Skill: Fractions | Problem Type: Rewriting fractions as equivalent fractions with larger denominators | Sequence: 9,Low,0.207,
4,Multiply two-digit numbers using the standard algorithm to compute products.,CCSS.MATH.CONTENT.4.NBT.B.5+7,Skill: Division | Problem Type: One-digit divisor; two- or three-digit dividend; two-digit quotient; remainder. | Sequence: 2,Low,0.246,
4,Solve problems involving multidigit multiplication.,CCSS.MATH.CONTENT.4.NBT.B.5+9,Skill: Data Analysis | Problem Type: Solve problems involving addition and subtraction of fractions using information from line plots | Sequence: 1,Very Low,0.194,
4,Divide whole numbers by 10 or 100 using place-value shifts.,CCSS.MATH.CONTENT.4.NBT.B.5+8,Skill: Decimals | Problem Type: Ordering mixed decimals | Sequence: 7,Very Low,0.173,
4,"Check if a number is divisible by 2, 3, 5, or 10 by looking at its last digit.",CCSS.MATH.CONTENT.4.OA.B.4+1,Skill: Fractions | Problem Type: Adding and subtracting fractions with unlike denominators | Sequence: 11,Low,0.283,
4,"Verify if a number is divisible by 4, 6, 8 and 9.",CCSS.MATH.CONTENT.4.OA.B.4+4,Skill: Fractions | Problem Type: Rewriting whole numerals as fractions | Sequence: 5,Low,0.333,
4,Solve a word problem involving divisibility rules.,CCSS.MATH.CONTENT.4.OA.B.4+5,"Skill: Decimals | Problem Type: Column alignment: adding tenths, hundredths, and whole numerals | Sequence: 5",Low,0.216,
4,Find all factors for a whole number in the range 1-100.,CCSS.MATH.CONTENT.4.OA.B.4+3,Skill: Fractions | Problem Type: Multiplying fractions by a whole number | Sequence: 6,Low,0.347,
4,Determine whether a given whole number in the range 1-100 is prime or composite.,CCSS.MATH.CONTENT.4.OA.B.4+2,Skill: Fractions | Problem Type: Multiplying fractions by a whole number | Sequence: 6,Low,0.308,
4,"Represent and solve division problems with remainders by using visual models, performing numerical calculations, and writing the corresponding equations.",CCSS.MATH.CONTENT.4.NBT.B.6+1,"Skill: Decimals | Problem Type: Column alignment: adding tenths, hundredths, and whole numerals | Sequence: 5",Low,0.206,
4,Solve a word problem in which the remainder is the answer.,CCSS.MATH.CONTENT.4.NBT.B.6+6,Skill: Problem Solving | Problem Type: Multi-step problems: three numerals; the sum of two numerals is subtracted from the third numeral | Sequence: 2,Low,0.253,
