grade,substandard_description,substandard_id,direct_instructions,match_confidence,similarity_score,llm_explanation
6,Write numerical expressions involving whole-number exponents.,CCSS.MATH.CONTENT.6.EE.A.1+1,Skill: Pre-Algebra | Problem Type: Write and evaluate expressions with letters for numbers in two-step problems | Sequence: 5,Very Low,0.135,
6,Evaluate numerical expressions involving whole-number exponents.,CCSS.MATH.CONTENT.6.EE.A.1+2,Skill: Pre-Algebra | Problem Type: Write and evaluate expressions with letters for numbers in two-step problems | Sequence: 5,Very Low,0.143,
6,Apply the order of operations to evaluate expressions.,CCSS.MATH.CONTENT.6.EE.A.2.C+1,Skill: Pre-Algebra | Problem Type: Write and evaluate expressions with letters for numbers in one-step problems | Sequence: 4,Low,0.254,
6,List all of the factor pairs of a number.,CCSS.MATH.CONTENT.6.NS.B.4+5,"Skill: Pre-Algebra | Problem Type: Given two pairs of x and y values, students determine the function, complete the function table, and graph the points | Sequence: 1",Low,0.254,
6,Write a number as a product of prime factors and represent the product using exponents.,CCSS.MATH.CONTENT.6.NS.B.4+1,Skill: Geometry | Problem Type: Find the area of a triangle using the equation | Sequence: 1,Very Low,0.196,
6,"Identify and find the greatest common factor (GCF) of two whole numbers where each number is less than or equal to 100, using methods such as prime factorization",CCSS.MATH.CONTENT.6.NS.B.4+2,Skill: Geometry | Problem Type: Find the area of a triangle using the equation | Sequence: 1,Low,0.208,
6,Find the least common multiple (LCM) of two whole numbers where each number is less than or equal to 12.,CCSS.MATH.CONTENT.6.NS.B.4+3,Skill: Pre-Algebra | Problem Type: Write and evaluate expressions with letters for numbers in two-step problems | Sequence: 5,Low,0.215,
6,"Utilize the distributive property to rewrite a sum of two whole numbers, each ranging from 1 to 100, that have a GCF greater than 1 as a product of their GCF and a sum of two whole numbers with no common factor.",CCSS.MATH.CONTENT.6.NS.B.4+4,Skill: Pre-Algebra | Problem Type: Write and evaluate expressions with letters for numbers in two-step problems | Sequence: 5,Low,0.276,
6,Solve word problems involving greatest common factor or least common multiple.,CCSS.MATH.CONTENT.6.NS.A.1+5,"Skill: Percent, Ratio, Probability | Problem Type: Probability Word Problems | Sequence: 4",Very Low,0.080,
6,"Find the reciprocal of a whole number, proper fraction or mixed number.",CCSS.MATH.CONTENT.6.NS.A.1+4,Skill: Geometry | Problem Type: Find the area of a triangle using the equation | Sequence: 1,Low,0.239,
6,Solve word problems involving comparing ratios.,CCSS.MATH.CONTENT.6.RP.A.3.A+7,"Skill: Percent, Ratio, Probability | Problem Type: Probability Word Problems | Sequence: 4",Very Low,0.118,
6,Apply the relationship between multiplication and division to divide fractions less than 1.,CCSS.MATH.CONTENT.6.NS.A.1+1,"Skill: Pre-Algebra | Problem Type: Given two pairs of x and y values, students determine the function, complete the function table, and graph the points | Sequence: 1",Very Low,0.153,
6,Apply the relationship between multiplication and division to divide fractions less than 1 and whole numbers.,CCSS.MATH.CONTENT.6.NS.A.1+6,"Skill: Pre-Algebra | Problem Type: Given two pairs of x and y values, students determine the function, complete the function table, and graph the points | Sequence: 1",Very Low,0.189,
6,Apply the relationship between multiplication and division to divide fractions greater than greater than 1.,CCSS.MATH.CONTENT.6.NS.A.1+2,"Skill: Pre-Algebra | Problem Type: Given two pairs of x and y values, students determine the function, complete the function table, and graph the points | Sequence: 1",Very Low,0.127,
6,Create and solve word problems involving division of fractions.,CCSS.MATH.CONTENT.6.NS.A.1+3,"Skill: Percent, Ratio, Probability | Problem Type: Probability Word Problems | Sequence: 4",Very Low,0.195,
6,Fluently add decimals using the standard algorithm.,CCSS.MATH.CONTENT.6.NS.B.3+1,Skill: Geometry | Problem Type: Find the area of a triangle using the equation | Sequence: 1,Low,0.205,
6,Fluently subtract decimals using the standard algorithm.,CCSS.MATH.CONTENT.6.NS.B.3+2,Skill: Geometry | Problem Type: Find the area of a triangle using the equation | Sequence: 1,Low,0.205,
6,Solve real-world problems by adding and subtracting decimals.,CCSS.MATH.CONTENT.6.NS.B.3+3,"Skill: Percent, Ratio, Probability | Problem Type: Probability Word Problems | Sequence: 4",Very Low,0.089,
6,Fluently multiply decimals using the standard algorithm.,CCSS.MATH.CONTENT.6.NS.B.3+4,Skill: Geometry | Problem Type: Find the area of a triangle using the equation | Sequence: 1,Low,0.205,
6,"Fluently divide whole number dividends by whole number divisors, resulting in decimals.",CCSS.MATH.CONTENT.6.NS.B.3+8,"Skill: Percent, Ratio, Probability | Problem Type: Complex percentage problems | Sequence: 1",Very Low,0.071,
6,Fluently divide decimal dividends by whole number divisors.,CCSS.MATH.CONTENT.6.NS.B.3+5,"Skill: Percent, Ratio, Probability | Problem Type: Complex percentage problems | Sequence: 1",Very Low,0.000,
6,Fluently divide whole number dividends by decimal divisors.,CCSS.MATH.CONTENT.6.NS.B.3+6,"Skill: Percent, Ratio, Probability | Problem Type: Complex percentage problems | Sequence: 1",Very Low,0.000,
6,Fluently divide decimal dividends by decimal divisors.,CCSS.MATH.CONTENT.6.NS.B.3+7,"Skill: Percent, Ratio, Probability | Problem Type: Complex percentage problems | Sequence: 1",Very Low,0.000,
6,Solve real-world problems by multiplying and dividing decimals.,CCSS.MATH.CONTENT.6.NS.B.3+9,"Skill: Percent, Ratio, Probability | Problem Type: Probability Word Problems | Sequence: 4",Very Low,0.089,
6,"Solve real-world problems by adding, subtracting, multiplying or dividing decimals.",CCSS.MATH.CONTENT.6.NS.B.3+10,Skill: Pre-Algebra | Problem Type: Write and evaluate expressions with letters for numbers in two-step problems | Sequence: 5,Very Low,0.041,
6,Understand the concept of a ratio and use ratio language to describe a ratio relationship between two quantities.,CCSS.MATH.CONTENT.6.RP.A.1+1,Skill: Pre-Algebra | Problem Type: Ratio tables | Sequence: 6,Low,0.231,
6,Writing ratios from word problems.,CCSS.MATH.CONTENT.6.RP.A.1+2,"Skill: Percent, Ratio, Probability | Problem Type: Probability Word Problems | Sequence: 4",Very Low,0.129,
